Category: All categories

DMA,Nginx: (5/23/18 - 5/23/19)
San Francisco-Oakland-San Jose CA,100
Los Angeles CA,46
San Diego CA,27
Santa Barbara-Santa Maria-San Luis Obispo CA,22
Monterey-Salinas CA,20
Chico-Redding CA,16
Sacramento-Stockton-Modesto CA,13
Fresno-Visalia CA,4
Reno NV,2
Medford-Klamath Falls OR,2
Eureka CA,
Palm Springs CA,
Bakersfield CA,
Yuma AZ-El Centro CA,
